patch_idx,height_difference,mean_z,max_z,std_z,range_z,ds_magnitude,modified_ds_magnitude,local_shape_ds_magnitude
0,7.717216798669807e-06,-0.046895335213657956,-0.04686789272505651,2.5981814820224877e-05,5.204545181383691e-05,1.9780398488538875,1.978040310150945,2.3610378375633108
1,5.203652198901446e-06,-0.04689439385339625,-0.04686789651511973,2.6015707653794752e-05,5.204721684731739e-05,1.971331133639012,1.971333547617006,2.376992386249765
2,8.583426583612547e-06,-0.04689723737280375,-0.04686790332198143,2.5809139226785323e-05,5.204603075981834e-05,1.9767621943859814,1.9767641461900567,2.3367666406252585
3,7.71675602743986e-06,-0.04689243657926319,-0.04686790788342625,2.5907440080890133e-05,5.204589352884176e-05,1.955477139027714,1.9554768278918886,2.3777971199372043
4,5.755877911992534e-06,-0.046893463558275485,-0.04686791449785232,2.6016127228431793e-05,5.2045354962892976e-05,1.9834645477597028,1.9834645477597035,2.3460958103447904
5,5.772258092842958e-06,-0.04689441551199111,-0.046867918223142624,2.6015938467857795e-05,5.204719025740656e-05,1.9822939471811654,1.9822939471811665,2.339524605862595
6,6.899465314238217e-06,-0.04689252805892495,-0.04686792567372322,2.598182533335105e-05,5.204447879272878e-05,1.9744713858079197,1.9744713858079208,2.393304483440607
7,6.150191254027271e-06,-0.04689442580306358,-0.04686792939901352,2.601610370779342e-05,5.204603075981834e-05,1.9735566334441565,1.973556633444156,2.394079583429765
8,5.5813438542363835e-06,-0.0468934850767082,-0.04686793614220998,2.6016109709283514e-05,5.204403691118353e-05,1.9421367380042025,1.942136738004202,2.38309350002092
9,5.3915467907796715e-06,-0.046893490428462366,-0.046867940574884415,2.601621382215082e-05,5.20460307598114e-05,1.9781910592165581,1.9781910592165581,2.3991304116760923
10,6.710289241820965e-06,-0.04689254844402403,-0.04686794430017471,2.5981294726339106e-05,5.204603075981834e-05,1.9736743340283276,1.9736743340283271,2.3718278560941077
11,5.39197712555661e-06,-0.04689444668421366,-0.0468679517507553,2.6015463031558426e-05,5.2045318034134314e-05,1.9811798249242678,1.981182426523611,2.37883254191685
