patch_idx,height_difference,mean_z,max_z,std_z,range_z,ds_magnitude,modified_ds_magnitude,local_shape_ds_magnitude
0,5.755587306849727e-06,-0.046894125318267754,-0.04686789233425191,2.6019580611937637e-05,5.204956790872545e-05,1.9812360690447222,1.9812360690447222,2.3957122088553895
1,5.945617800815414e-06,-0.04689330016117374,-0.04686790025498903,2.6012870358803682e-05,5.20490977522145e-05,1.98561401621261,1.9856140162126104,2.4134953686192313
2,6.904739691310454e-06,-0.046895355981787845,-0.04686790756596348,2.5950267006043703e-05,5.204923735836753e-05,1.9881528394419867,1.9881528394419874,2.4258369559648196
3,5.210502383799617e-06,-0.046894148358512806,-0.04686791456049686,2.601937400894667e-05,5.204969340558141e-05,1.9935894587112486,1.9935894587112486,2.4147231100099322
4,5.95151043822285e-06,-0.046894572781246126,-0.046867925673723214,2.6012848873807107e-05,5.204603075982528e-05,1.9873827701956894,1.9873827701956894,2.417141140047722
5,5.370341447433253e-06,-0.04689416483222426,-0.04686793292433515,2.6019641689016802e-05,5.2046269753545926e-05,1.9808558057734178,1.9808558057734178,2.40223985137341
6,5.452731488072093e-06,-0.0468941721706959,-0.04686794057488441,2.601948184252811e-05,5.204621760449696e-05,1.9881240151204544,1.9881240151204544,2.418998817920193
7,5.2046518092875655e-06,-0.04689418020870237,-0.046867948025465005,2.6019396094850745e-05,5.204912220745789e-05,1.9908306287883417,1.9908306287883413,2.426976323685568
8,5.5361632265029875e-06,-0.04689418795216287,-0.04686795547604561,2.6019463558392236e-05,5.2049756050102924e-05,1.9879011208848172,1.9879011208848172,2.4171788466162765
9,5.370309185392277e-06,-0.04689419613511908,-0.04686796318275833,2.6019509333164725e-05,5.2049499917994346e-05,1.9896964487411637,1.9896964487411637,2.420220158312479
10,5.369809838850622e-06,-0.04689420369623822,-0.046867971340300844,2.6019448229502122e-05,5.2048792956067846e-05,1.9816631347240574,1.9816631347240565,2.4146746197353264
11,5.288239886306858e-06,-0.04689421206897562,-0.04686797857831787,2.601955152399025e-05,5.20490055196457e-05,1.9765970364495753,1.9765970364495753,2.4272390739103495
12,5.787778723286262e-06,-0.04689380375081282,-0.04686798646649126,2.6019310421573787e-05,5.205022887903865e-05,1.9897622954660097,1.9897622954660097,2.4101655647572
13,5.702093305905817e-06,-0.04689464445573779,-0.046867996454238885,2.60129372278947e-05,5.204764846362259e-05,1.995158820590892,1.995158820590892,2.407848884003345
14,5.7852332308512424e-06,-0.04689465233345882,-0.04686800390481949,2.6012638904380286e-05,5.2048921738351295e-05,1.988341644014611,1.9883416440146113,2.4155086205685934
15,5.620048303715986e-06,-0.046894243971439334,-0.046868011355400085,2.601968159191087e-05,5.204864839988138e-05,1.9886614602867052,1.9886614602867052,2.4037239003670967
16,5.2869347288468906e-06,-0.04689383603524762,-0.046868018805980675,2.601965988641998e-05,5.204975605012374e-05,1.9917214955736537,1.991721495573654,2.3986678705016913
17,5.454107654671739e-06,-0.04689384389803462,-0.04686802625656128,2.6019439521903037e-05,5.204975605010986e-05,1.9928879962690549,1.9928879962690549,2.4157914775631477
18,5.5371966454314546e-06,-0.046893851868537055,-0.04686803743243217,2.601969003543551e-05,5.204603075982528e-05,1.9858990152666731,1.9858990152666738,2.4209320854580625
19,5.488101419207242e-06,-0.046894275739046774,-0.046868044883012765,2.6019539423737777e-05,5.204603075981834e-05,1.9879165292199215,1.9879165292199223,2.419567500818971
20,5.2841902865584385e-06,-0.04689412533305766,-0.04686789232909672,2.601958894973763e-05,5.204957306392116e-05,1.9872009602723062,1.9872009602723062,2.419750518991643
21,5.979170805386294e-06,-0.04689330039471389,-0.04686790091098804,2.6012866673159618e-05,5.2048441753202446e-05,1.9899042537765952,1.9899042537765952,2.404912638580688
22,5.978437973354295e-06,-0.046893308856937266,-0.04686790860047692,2.60128209669146e-05,5.204820284492734e-05,1.9849805508131078,1.984980550813108,2.4213531233217265
23,5.313478911443576e-06,-0.046894149718733,-0.04686791687813976,2.6019469901608807e-05,5.205006550763197e-05,1.9841074915568304,1.9841074915568309,2.4128553561789725
24,5.878788998411301e-06,-0.04689332479281244,-0.04686792567372322,2.6012953034071258e-05,5.2047935137453094e-05,1.983072202736387,1.9830722027363874,2.4030291260281915
25,5.773961186118681e-06,-0.046893333062916,-0.04686793312430381,2.6012853979548637e-05,5.204830347703415e-05,1.9863208047368472,1.9863208047368472,2.4170147759965896
26,6.139931606674857e-06,-0.046894589587855647,-0.046867940574884415,2.6012770536606964e-05,5.204832780686397e-05,1.9869879640038244,1.9869879640038242,2.4109847482387883
27,6.085896438542769e-06,-0.04689334904617397,-0.04686794802546502,2.6012724902438075e-05,5.2049756050102924e-05,1.9892209108611827,1.989220910861183,2.4122971744343786
28,5.8803285576293205e-06,-0.04689460590885761,-0.04686795627843717,2.601271756363501e-05,5.204900281369912e-05,1.9843857212114373,1.9843857212114377,2.4126539717928477
29,6.4484645332381325e-06,-0.04689294854453141,-0.0468679666519165,2.5999615090352407e-05,5.204603075981834e-05,1.9853260771686463,1.9853260771686467,2.4218642787911233
30,5.673500417206479e-06,-0.046894204917833165,-0.046867974102497094,2.601946456506071e-05,5.204616185194161e-05,1.978379493772261,1.978379493772261,2.419576322656764
