patch_idx,height_difference,mean_z,max_z,std_z,range_z,ds_magnitude,modified_ds_magnitude,local_shape_ds_magnitude
0,5.580390702537951e-06,-0.04689433717190351,-0.0468678924851608,2.6017088062342342e-05,5.20568675804467e-05,3.0,1.9982038576060237,2.4349120471720416
1,5.4199852970842765e-06,-0.04689382370283902,-0.04686790748268166,2.6011873649279885e-05,5.2057294647717134e-05,3.0,1.9966958804785626,2.4373903150806124
2,5.784871573609814e-06,-0.046893536409740734,-0.046867925673723214,2.6017037226379695e-05,5.205459922957151e-05,3.0,1.9966721064121498,2.4417979660482154
3,5.245498047286568e-06,-0.046894072567425664,-0.04686794057488441,2.6020157106150468e-05,5.2057206630720665e-05,3.0,1.996433021256053,2.441351131782741
4,5.662113936490574e-06,-0.046893672003435326,-0.0468679554760456,2.601857752645513e-05,5.2057206630720665e-05,3.0,1.992687588140165,2.438771333713067
5,5.204256346846156e-06,-0.04689410418989773,-0.046867971966518665,2.602021818133919e-05,5.2055617318851055e-05,3.0,1.993947548655037,2.4360655499352775
6,5.37048674088546e-06,-0.04689422417340188,-0.04686798755966745,2.601954014234264e-05,5.205725896614832e-05,3.0,1.9967796021607775,2.4315073982899125
7,5.287685996211242e-06,-0.04689392776665847,-0.04686800390481948,2.6020147923048757e-05,5.205635496267208e-05,3.0,1.9970769136620574,2.43233278752252
8,5.329443005154739e-06,-0.04689404794166258,-0.04686801880598068,2.6020385858250755e-05,5.2057206630713726e-05,3.0,1.9963302014568776,2.43634061735449
9,5.218206802563903e-06,-0.046893959681398124,-0.046868037078285754,2.6020186025547517e-05,5.205383548682885e-05,3.0,1.995287105889691,2.438471928824336
10,5.303228473121571e-06,-0.0468940249441758,-0.04686789218276303,2.6020322702843446e-05,5.205716997821325e-05,3.0,1.9969408931297814,2.436705154485076
11,0.0008200682685315966,-0.046894040928298644,-0.046867907719614924,2.6020233228046734e-05,5.205748661384069e-05,3.0,1.9966530596949976,2.4414217588773246
12,0.0008202770118118225,-0.04689426521643951,-0.046867925673723214,2.6018607334988575e-05,5.2055130918417236e-05,3.0,1.9944235755999313,2.4378566154780286
13,0.000820444241225062,-0.046894385051494264,-0.046867940574884415,2.6017109553781687e-05,5.2057206630713726e-05,3.0,1.9962248160228493,2.4394231833182394
14,5.516473053542582e-06,-0.04689429682288821,-0.0468679554760456,2.6018483297216707e-05,5.2057206630720665e-05,3.0,1.9943320962475812,2.43552956697231
15,5.4903787532695135e-06,-0.04689379212761491,-0.04686797295460113,2.6019452714979402e-05,5.2054629236387984e-05,3.0,1.997550566062253,2.436005641930224
16,5.710752673262697e-06,-0.04689453671606627,-0.04686798780078378,2.6015070185051246e-05,5.205732216779363e-05,3.0,1.9969729689146403,2.4349731567026374
17,5.3602092625841096e-06,-0.046893927993171526,-0.04686800390481948,2.6020093670772512e-05,5.2056916359413674e-05,3.0,1.9977163414702819,2.437672363166584
18,5.969758984663194e-06,-0.04689331949698851,-0.04686801880598068,2.6010082940760657e-05,5.2057206630713726e-05,3.0,1.9962579997437515,2.4368998443928076
19,5.715781269547658e-06,-0.046894480011874524,-0.04686803723915056,2.6017059498947658e-05,5.20536746220282e-05,3.0,1.997675536384218,2.4406642538585137
20,5.487149712676701e-06,-0.04689371265578469,-0.04686789243171702,2.6019578251590443e-05,5.205692102422388e-05,3.0,1.9952713324962594,2.4388505333410526
