patch_idx,height_difference,mean_z,max_z,std_z,range_z,ds_magnitude,modified_ds_magnitude,local_shape_ds_magnitude
0,5.2341529850389235e-06,-0.04689402487192234,-0.04686789242256735,2.6020183779867465e-05,5.205693017389795e-05,1.996107602584458,1.996107602584458,2.4386404106454784
1,5.297828496792448e-06,-0.04689403171026184,-0.04686790728733,2.6012028371712614e-05,5.2057125792231984e-05,1.9954134314111296,1.9954134314111294,2.4338709089813166
2,6.0130722085893664e-06,-0.04689332807626094,-0.046867925673723214,2.60129765826247e-05,5.2053756649794725e-05,1.9967411535246111,1.9967411535246113,2.4362967484981413
3,5.494956032383738e-06,-0.04689428056920777,-0.046867940574884415,2.6018480963984525e-05,5.2057206630713726e-05,1.998668575361855,1.998668575361855,2.4394232911833984
4,5.47483369541219e-06,-0.046893776024258274,-0.04686795547604561,2.601963764031284e-05,5.2057206630713726e-05,1.9966277302252515,1.9966277302252518,2.4356498006707623
5,5.474265277313408e-06,-0.04689368793844824,-0.04686797160834204,2.6018407602879414e-05,5.20559754954783e-05,1.9954968810283624,1.9954968810283624,2.4354033417530063
6,5.371171863339086e-06,-0.04689412045141401,-0.04686798840043043,2.60199603973838e-05,5.205730089514332e-05,1.9938344148801472,1.9938344148801477,2.437752597147612
7,5.2873261343535375e-06,-0.04689403208238106,-0.04686800390481949,2.602014611069625e-05,5.2056353170848446e-05,1.9928131783085312,1.9928131783085312,2.4352325191874202
8,5.266534951919636e-06,-0.04689404817517455,-0.046868018805980675,2.602032442895984e-05,5.2057206630720665e-05,1.9943397935899998,1.9943397935899996,2.432848584042948
9,5.357321886808183e-06,-0.04689416795870105,-0.04686803743243217,2.6020215343614687e-05,5.20534813404222e-05,1.9963348651700648,1.9963348651700639,2.4302120293590277
10,5.510807517826207e-06,-0.046894233089980183,-0.0468678927634919,2.6018612156157034e-05,5.2056589249338536e-05,1.994226126248165,1.994226126248165,2.4412410865096
11,0.0008617327945197869,-0.04689372861857263,-0.046867907722662874,2.601949273135635e-05,5.205735357427521e-05,1.9968732122762478,1.996798604747938,2.4398166839004243
12,0.0008623705604670735,-0.04689436912631641,-0.046867925673723214,2.601698329437453e-05,5.205437845296618e-05,1.996944954676502,1.9969117668143725,2.4370849757410857
13,0.0008623692271437422,-0.04689428078086704,-0.04686794057488441,2.6018571870462576e-05,5.2057206630720665e-05,1.9962525935574198,1.996295837402089,2.4404303766132385
14,5.464351145378062e-06,-0.04689419253913823,-0.04686795547604561,2.601964032630722e-05,5.2057206630713726e-05,1.997451907088517,1.9974519070885168,2.439844184999047
15,5.334569393323595e-06,-0.04689379181540113,-0.04686797250962392,2.6019687616831373e-05,5.205507421359584e-05,1.9973175344320329,1.9973175344320335,2.4381209291896218
16,5.335054850968567e-06,-0.04689391166613358,-0.046867986561830166,2.6020125517075495e-05,5.2057062932681086e-05,1.9953601650157426,1.9953601650157426,2.4398102794662466
17,5.554646028531995e-06,-0.046894343909601836,-0.04686800390481949,2.601838366310721e-05,5.205558354860751e-05,1.996304023277148,1.9963040232771483,2.4362458916123613
18,5.3603001642053965e-06,-0.04689415178062561,-0.046868018805980675,2.6020153354271913e-05,5.2057206630720665e-05,1.9968846127738944,1.9968846127738944,2.43445543405638
19,5.343435927769846e-06,-0.04689385548919753,-0.046868036667505886,2.601956176606415e-05,5.205424626670424e-05,1.9966686273513563,1.9966686273513559,2.4363884018914392
20,5.611923338765623e-06,-0.04689360865043638,-0.046867892161292474,2.601850146640552e-05,5.205719144876775e-05,1.9967372397439085,1.9967372397439078,2.438974050586489
21,0.002276450992318972,-0.046894249166195806,-0.0468679075333436,2.6018347415224204e-05,5.205785009169961e-05,1.9971347513959272,1.9970926848376302,2.440651540761287
22,0.004792970340698232,-0.04667025471456124,-0.024766246182023943,0.0017966811497513288,0.022153734484007807,1.9973610137803888,1.9972231210169833,2.4356576556357243
23,0.007779224284893066,-0.04689396884395306,-0.04686794057488441,2.6020538165951755e-05,5.2057206630720665e-05,1.9943491111026483,1.9944322741290537,2.4389635472703812
24,0.005507454205025688,-0.046893256098593024,-0.0468679554760456,2.60102702575939e-05,5.2057206630713726e-05,1.9968821991715913,1.9967502562755715,2.439260584920249
25,0.0012136695996651623,-0.0468944167670326,-0.046867973377975276,2.6017009033938553e-05,5.2054205862239744e-05,1.9962190648580749,1.9962240253071184,2.439047861338451
26,5.268310175710153e-06,-0.04689401649331912,-0.04686798836750452,2.6020269624599037e-05,5.205683850315751e-05,1.9971630241807397,1.9971630241807399,2.4402832193522666
27,5.333728990543192e-06,-0.046893928064343116,-0.04686800390481949,2.6020012333194292e-05,5.2056901176975034e-05,1.9968843040763584,1.9968843040763595,2.4349891049313896
