patch_idx,height_difference,mean_z,max_z,std_z,range_z,ds_magnitude,modified_ds_magnitude,local_shape_ds_magnitude
0,5.2105486658082746e-06,-0.0468941252721156,-0.04686789263937655,2.6019587377203147e-05,5.2049262784091554e-05,3.0,1.9905871776705546,2.4236590003664076
1,5.863308637946336e-06,-0.046893716513257945,-0.046867900643011995,2.6019521723958746e-05,5.204870972925352e-05,3.0,1.9898301731573702,2.4035899512632484
2,6.32428779443003e-06,-0.04689493832878177,-0.04686790775151589,2.5968649314087167e-05,5.204905180594688e-05,3.0,1.990292424259637,2.3907424449919206
3,5.614086378969671e-06,-0.0468937323430619,-0.04686791505789241,2.6019665318962286e-05,5.204980552912797e-05,3.0,1.9877968043595615,2.3926056740916244
4,5.7868047471808235e-06,-0.04689415677197514,-0.04686792567372322,2.60197411132812e-05,5.2047356595447125e-05,3.0,1.9850444950213926,2.4110888746492485
5,5.368985357245006e-06,-0.04689333240817867,-0.04686793312430381,2.6013021243324198e-05,5.20464354771058e-05,3.0,1.982154170417236,2.4069982052831063
6,6.0329800168242054e-06,-0.04689292355355907,-0.046867940574884415,2.5999430651926103e-05,5.204603075981834e-05,3.0,1.9888372243126142,2.412162888522102
7,6.777607894659215e-06,-0.04689542943353656,-0.046867948025465005,2.5979183750771065e-05,5.20497560501168e-05,3.0,1.9888723079896047,2.403839077782869
8,6.2819557805381355e-06,-0.04689502071500603,-0.04686795547604561,2.599975227717208e-05,5.20497560501168e-05,3.0,1.9851028866672196,2.425456050555557
9,7.111066139083075e-06,-0.04689253105702874,-0.04686796403851924,2.5979395066718075e-05,5.204864415707389e-05,3.0,1.9822977191176645,2.427139496510697
10,6.201401142738519e-06,-0.04689462033332904,-0.04686797221710537,2.6012722294923753e-05,5.204791615154303e-05,3.0,1.9863782589983014,2.4112150144815696
11,5.204036891493916e-06,-0.0468942122469779,-0.0468679796695073,2.6019470283530837e-05,5.204791433021522e-05,3.0,1.9763955137420353,2.4088314008412617
12,5.3704579963368635e-06,-0.04689422017124099,-0.04686798776048327,2.6019335967064322e-05,5.204920173491889e-05,3.0,1.9750529919476585,2.4153659933321054
13,5.453904832764262e-06,-0.046893811700092956,-0.046867996454238885,2.6019571068945675e-05,5.204795527005007e-05,3.0,1.9778602586169154,2.4077865327660826
14,6.0350483133465085e-06,-0.0468946521559814,-0.04686800390481948,2.6012714351344612e-05,5.204840527884419e-05,3.0,1.9913318310230275,2.4155200884162773
