patch_idx,height_difference,mean_z,max_z,std_z,range_z,ds_magnitude,modified_ds_magnitude,local_shape_ds_magnitude
0,5.832086799752416e-06,-0.04689438924720207,-0.04686789235552868,2.6016279305854225e-05,5.204582134167579e-05,1.983314344317015,1.983314344317016,2.3779086609618654
1,5.581839246703134e-06,-0.04689439388180931,-0.04686789726750609,2.6015902724913488e-05,5.20470970857001e-05,1.9772273753863583,1.977227798367312,2.385398279433467
2,7.847781416531006e-06,-0.04689629105959501,-0.04686790332198142,2.591293983724126e-05,5.20455812068818e-05,1.9779292615332367,1.9779265065556142,2.3790717935312746
3,5.678580240663475e-06,-0.04689432540247207,-0.04686790704727173,2.5944941684492693e-05,5.2046439763767105e-05,1.9612591543585025,1.9612591107662687,2.3801902814344764
4,6.165602180762693e-06,-0.04689440935959582,-0.046867914497852325,2.6016185184497226e-05,5.2044148172183946e-05,1.9563672945326958,1.9563679607883704,2.334469397612854
5,6.899909133317687e-06,-0.04689536090742618,-0.046867918223142624,2.598144858752587e-05,5.204603075981834e-05,1.9702402242875905,1.9702448998019277,2.376091860827237
6,5.771129829582748e-06,-0.04689441988606655,-0.046867925673723214,2.601618448798067e-05,5.20431447467995e-05,1.9639860776232827,1.9639849092967043,2.359422080728515
7,5.960793145415937e-06,-0.046893479024689586,-0.04686792939901352,2.6015932582587964e-05,5.20460307598114e-05,1.9773569165661384,1.9773569165661378,2.3740370258986885
8,5.77077056695836e-06,-0.046894430651150155,-0.04686793512447683,2.6016016132006294e-05,5.204403058680501e-05,1.9752760251824573,1.9752760251824573,2.3601870113818917
9,6.8996988598050646e-06,-0.04689254329971155,-0.046867939527752436,2.598125371039342e-05,5.2046664721167035e-05,1.9742966003802522,1.9742966003802522,2.3863048551108657
10,5.961239120349902e-06,-0.046893494048650786,-0.04686794430017471,2.6016137461545008e-05,5.20460307598114e-05,1.9707430178423677,1.970743017842367,2.36910909629045
11,7.0889666813464e-06,-0.04689539229529316,-0.04686794925866308,2.59811641814306e-05,5.204760526437979e-05,1.9706070708099457,1.9706064805878192,2.3266360279853258
12,5.77018226929047e-06,-0.04689445081821357,-0.0468679554760456,2.6016334267241375e-05,5.204594813042196e-05,1.9333948714505482,1.9333943009658239,2.3816984787731976
13,5.582411401610044e-06,-0.046893510253684156,-0.046867959499702544,2.6015795308959505e-05,5.2046388292682766e-05,1.980829292123437,1.9808285068567728,2.3658082249720143
14,7.466807730539582e-06,-0.046895407722872616,-0.0468679666519165,2.5981737118085463e-05,5.2044231337519675e-05,1.9795812137126212,1.9795821503982718,2.3450574965687245
15,5.961079560013111e-06,-0.04689352044695858,-0.0468679703772068,2.6016233564155392e-05,5.204603075981834e-05,1.9797178438717957,1.9797149377230894,2.3810699316741752
16,8.209826496470908e-06,-0.04689636393585127,-0.046867974524689396,2.5912379683185386e-05,5.204674866875203e-05,1.970541722985247,1.9705410587485357,2.371656163398243
17,7.65669279754243e-06,-0.046892585082889404,-0.0468679815530777,2.598167201292156e-05,5.20460307598114e-05,1.9669522051851662,1.9669506820842457,2.366166098814479
18,6.148677478638466e-06,-0.04689448200460943,-0.046867985278367996,2.6015978683095805e-05,5.204603075981834e-05,1.9544740530317906,1.9544740530317912,2.3686520416530135
19,5.392696481097368e-06,-0.0468944881269298,-0.04686799259276847,2.6016137433962122e-05,5.2046166939934135e-05,1.9719210386810229,1.971921038681024,2.3936667051265754
20,5.770711544303966e-06,-0.04689449309033823,-0.04686799645423889,2.6015950101088103e-05,5.204603075981834e-05,1.973314984043805,1.9733149840438053,2.376829070973143
21,5.392856597945464e-06,-0.04689449874627208,-0.046868003696134544,2.601564885912104e-05,5.204310239417115e-05,1.9806188307643218,1.9806180954871848,2.3816741896025135
22,7.832796937577859e-06,-0.046891664930086806,-0.04686800763010979,2.5912628895102846e-05,5.20460307598114e-05,1.9741958341697903,1.9741977660147776,2.3768920801787843
23,5.393139125962348e-06,-0.046894508909524915,-0.04686801459833682,2.6016092188476555e-05,5.204278782308669e-05,1.9751000566975137,1.9751017174588845,2.3779708592486983
24,8.209875824558433e-06,-0.04689640618327583,-0.046868017855149394,2.5912520676257157e-05,5.2046981591107044e-05,1.9868729395849722,1.986871984347528,2.3615470184110974
25,5.960668482036761e-06,-0.046893573395901084,-0.04686802353503144,2.6016351656515047e-05,5.204502699936164e-05,1.9623939426421213,1.9623938427762577,2.38452799288784
26,6.1487012211831465e-06,-0.0468945243443874,-0.04686802827120079,2.601580392076245e-05,5.204656509400635e-05,1.963257163109145,1.9632582894679367,2.384478324993992
27,6.899896781089422e-06,-0.04689547672562601,-0.046868033707141876,2.5981921172972358e-05,5.204603075981834e-05,1.949756125432956,1.9497561254329558,2.3761436524182917
28,7.004553004160607e-06,-0.04689264290188595,-0.04686803794163645,2.5981407822579347e-05,5.204797122920768e-05,2.042640717644575,2.0426407176445744,2.3932980097685537
29,7.781500946073904e-06,-0.04689590048515844,-0.046868044883012765,2.5955774534701073e-05,5.204603075981834e-05,2.1384040508689126,2.1384040508689157,2.408046867714985
30,6.903500150503002e-06,-0.04689249655580023,-0.04686789255049569,2.5981892174479335e-05,5.20456263746541e-05,1.959219785867393,1.959219785867394,2.3886960497920837
31,5.4396800730379435e-06,-0.04689439368719711,-0.04686789683530487,2.6015768791189405e-05,5.2047212899856976e-05,1.9778035622843975,1.9778027251815096,2.368134399065858
32,7.0796921069192706e-06,-0.04689250618007205,-0.04686790332198143,2.5981938148113384e-05,5.204576493708646e-05,1.9683604160784334,1.9683603168485282,2.3725490945505934
33,6.724517951809965e-06,-0.04689251170635049,-0.04686790704727173,2.598160849563582e-05,5.204628473309131e-05,1.9653882675007788,1.9653872448546086,2.3851079167270433
34,5.5490064645961734e-06,-0.046893462982402344,-0.04686791449785232,2.6016064634479168e-05,5.204433364969924e-05,1.9596058872368938,1.9596084426752927,2.3543777682453224
35,7.78499138996008e-06,-0.04689157620878288,-0.04686791822314262,2.591246945757004e-05,5.204603075981834e-05,1.9623585764615035,1.9623622938419225,2.3517771346299905
36,5.676715977124835e-06,-0.046894420238378406,-0.04686792567372322,2.6015992995914083e-05,5.204401939720715e-05,1.969959105692236,1.9699606934090215,2.370229189342806
37,5.795236094528689e-06,-0.046894425821569975,-0.04686792939901352,2.6016226510886338e-05,5.204603075981834e-05,1.9682636667633184,1.9682636667633175,2.356919551518002
38,5.440065479999246e-06,-0.046893484885905855,-0.04686793670253572,2.6016208589280197e-05,5.204268631944786e-05,1.9725590028114397,1.9725616566121993,2.3731862383748714
39,6.970875692467576e-06,-0.04689538239292641,-0.046867940574884415,2.598168259502267e-05,5.20460307598114e-05,1.9690728793703074,1.9690731115703553,2.3746227257063146
40,5.794375711314938e-06,-0.04689444075146791,-0.04686794430017471,2.6016158322925262e-05,5.20460307598114e-05,1.9741853236822362,1.9741844795453949,2.346260648020887
41,5.439492413140044e-06,-0.046893500587771836,-0.04686795108680978,2.6016142575773246e-05,5.20466947053419e-05,1.980165228529595,1.9801659202379858,2.3338620952677505
42,7.666743979920797e-06,-0.046891612904916904,-0.0468679554760456,2.5912734798545132e-05,5.204603075981834e-05,1.9603061908164747,1.9603022070889764,2.36517978227502
